dataset,detector,clean_frame_auc,d6_frame_auc,d6_frame_auc_drop_pp,clean_fdr,d6_fdr,d6_fdr_ratio,d6_fdr_ratio_ci_lower,d6_fdr_ratio_ci_upper,failure_type
FF++ c23,UCF,0.98121436682992,0.90266467206248,7.854969476744,4.80649190675359,1.33458407058604,0.27766281447615,0.2362151803336392,0.32610036369129436,C_feature_collapse
FF++ c23,LSDA,0.921448086179926,0.758774149697366,16.267393648256,0.579287317901137,0.114094823327479,0.196957226235964,0.15777340066830442,0.2519686864644588,C_feature_collapse
FF++ c23,Xception,0.976078431841879,0.866829652342645,10.9248779499234,2.48270011154004,0.702809813119667,0.283082845911545,0.2512931065407406,0.31433136297135855,C_feature_collapse
FF++ c23,EfficientNet-B4,0.970189926346277,0.885670961293975,8.4518965052302,2.75400016830286,0.918457457227829,0.333499419425898,0.30201533191329577,0.37053305458982383,B_feature_degradation
FF++ c23,SPSL,0.945461015726962,0.82511926691078,12.0341748816182,1.61601627763451,0.582302469200773,0.360332056836169,0.31026580394650305,0.411660818039099,B_feature_degradation
Celeb-DF-v2,UCF,0.77165991169105,0.683452327995255,8.8207583695795,0.425014550583655,0.174962801095349,0.411663085075747,0.3169584954514882,0.5250667610724117,B_feature_degradation
Celeb-DF-v2,LSDA,0.75122326018189,0.633147357321735,11.8075902860155,0.146085622237732,0.0723759947761331,0.495435441677843,0.3422047765494074,0.7024904691936479,B_feature_degradation
Celeb-DF-v2,Xception,0.740272217279557,0.662489686305523,7.77825309740341,0.219459020381325,0.0866915761140251,0.395023981987127,0.291837366224285,0.5168763586954616,B_feature_degradation
Celeb-DF-v2,EfficientNet-B4,0.75049096316067,0.662985658033478,8.7505305127192,0.29848989471091,0.117251093063263,0.392814279950152,0.29667539250584984,0.49087617220278534,B_feature_degradation
Celeb-DF-v2,SPSL,0.729024968696455,0.628354306708844,10.0670661987611,0.205089880811107,0.054402546752972,0.265261974592876,0.14080226820493622,0.41001073320554055,C_feature_collapse
